filename,cloaked_distance,ai_distance
33_1_2_20170116191634811,-0.0,0.420359
22_1_2_20170116172613537,-0.0,0.408077
96_1_0_20170110173805290,ERROR,ERROR
27_0_4_20170117120137595,-0.0,0.299405
30_1_0_20170117143824841,0.540939,0.541269
95_1_2_20170110182531150,0.08688,0.19308
37_0_1_20170113174433771,0.0,0.609011
36_1_3_20170117135606725,0.295811,0.352471
35_0_2_20170116182409965,0.16259,0.415951
38_1_1_20170116175444213,0.290326,0.34723
39_1_1_20170113012244528,-0.0,0.320047
56_0_0_20170111194856535,0.190704,0.404033
34_1_1_20170117010327748,0.250155,0.361557
50_0_0_20170111171747287,0.650087,0.480984
26_0_2_20170116184700065,ERROR,ERROR
44_0_0_20170113210319338,0.9056,0.43339
30_1_2_20170116191316723,0.01404,0.578184
67_0_1_20170117172054412,0.204879,0.36818
36_1_1_20170116001839105,0.215352,0.327702
62_1_0_20170110160643798,0.125381,0.172205
69_1_0_20170110154316664,0.517315,0.743419
30_1_1_20170110120856819,0.393233,0.373624
24_0_1_20170116163437875,0.0,0.769981
60_1_0_20170110141610416,0.624742,0.706572
50_1_0_20170110154654768,0.877235,0.481245
36_1_0_20170117171707768,0.475856,0.550705
72_0_2_20170112205400276,0.353768,0.439482
53_1_0_20170110160643219,0.625412,0.391666
76_1_1_20170110181603235,0.246582,0.240447
75_0_2_20170111210029130,0.148925,0.34725
27_1_1_20170117005946474,0.308615,0.483721
45_1_4_20170117150756260,-0.0,0.341817
80_1_0_20170110143302067,0.391512,0.386511
55_0_0_20170111195801050,0.390115,0.614019
25_1_0_20170117143952249,0.103538,0.254159
41_1_1_20170117171024861,0.314209,0.50435
38_1_1_20170117203703512,0.27689,0.495661
53_0_0_20170111201139891,0.147359,0.794053
45_1_0_20170117170556859,0.589622,0.601927
50_0_0_20170111171747307,0.446375,0.527406
28_1_3_20170117184127794,0.410183,0.490978
53_1_0_20170110141257440,0.624218,0.603389
66_1_0_20170110132126931,0.285894,0.338625
65_0_0_20170111193847133,0.550557,0.73704
34_1_1_20170117132708007,0.583349,0.578913
80_1_0_20170110154553925,0.403868,0.526359
75_0_0_20170111203855367,0.171504,0.245642
61_1_0_20170110160643735,0.745648,0.68291
37_1_0_20170117160416815,0.280932,0.452462
45_0_1_20170113154803466,0.474763,0.525927
