filename,cloaked_distance,ai_distance
85_1_0_20170110184001159,0.370372,0.44789
45_0_0_20170117181001561,ERROR,ERROR
100_0_0_20170112213500903,ERROR,ERROR
29_1_2_20170116162317216,0.479833,0.470673
44_1_0_20170117190014098,0.894063,0.578053
50_1_0_20170110153432618,ERROR,ERROR
31_1_1_20170117135704010,0.464529,0.434985
80_0_2_20170112224352147,0.060521,0.85391
52_1_0_20170109220548552,0.45842,0.320096
61_0_0_20170111171747577,0.5967,0.667422
80_1_0_20170110141751087,0.308733,0.398901
36_1_3_20170117183408380,0.888909,0.912343
89_0_1_20170117182437361,0.780374,0.379688
72_1_0_20170110153242401,0.0,0.28143
24_1_1_20170113003752421,0.470688,0.470481
64_1_0_20170110160643892,0.216628,0.447583
38_1_1_20170113005614349,0.330974,0.431228
56_0_0_20170111211219557,0.002019,0.288382
50_0_0_20170117003508336,0.18428,0.623476
100_1_0_20170112213303693,0.393223,0.717391
38_1_1_20170116024040944,0.290182,0.403687
81_0_1_20170117193731174,0.16912,0.63359
76_1_0_20170110140935777,0.227651,0.289306
42_1_0_20170110124244590,0.578366,0.545202
75_0_1_20170111211400077,ERROR,ERROR
90_0_0_20170111210220723,ERROR,ERROR
27_1_1_20170117193211345,0.483909,0.382242
85_1_0_20170110173744770,0.146261,0.214205
82_0_0_20170111224022146,0.341267,0.532726
23_1_0_20170117144933457,0.894805,0.872541
35_0_1_20170113173010410,0.439982,0.578227
52_0_0_20170111200615194,0.306978,0.576541
58_0_0_20170111201757951,0.406453,0.437746
53_0_0_20170120222602009,0.488634,0.558585
54_1_0_20170110122231385,0.560677,0.518988
50_0_0_20170117204826505,0.387677,0.576185
69_1_0_20170110141155497,0.532741,0.469993
50_0_0_20170117182857325,0.461749,0.614987
86_0_0_20170111222700442,0.285286,0.469565
71_1_0_20170110143306064,0.358724,0.309472
56_1_0_20170109221138733,0.608465,0.468467
35_1_1_20170117141052934,0.385909,0.526952
65_1_0_20170110154347701,0.598769,0.576296
23_0_1_20170114033506795,ERROR,ERROR
66_0_1_20170117195116702,0.0,0.12489
38_0_0_20170117153835602,0.512126,0.777263
26_1_1_20170116231102643,0.23708,0.364313
31_0_1_20170117021212992,0.179126,0.26748
62_0_0_20170111205902585,0.55526,0.699813
75_0_0_20170111204722982,0.441826,0.412828
49_1_0_20170117154443925,0.591002,0.602484
32_0_2_20170116191411640,0.376126,0.337106
40_1_1_20170113012951777,ERROR,ERROR
22_1_1_20170114030312289,0.279403,0.357089
93_1_0_20170110141221528,0.241175,0.348596
82_0_1_20170111210240036,0.006557,0.500298
36_1_1_20170117165628076,0.45051,0.431916
75_1_2_20170110182818569,0.359848,0.432006
28_1_1_20170114031123751,0.341899,0.354844
32_1_0_20170117093112387,0.596093,0.576501
85_0_2_20170112224655914,ERROR,ERROR
23_1_2_20170116173214311,0.061974,0.123526
37_0_0_20170116185003477,0.0,0.615771
40_0_1_20170116143000824,0.277705,0.327759
66_0_2_20170111205753656,0.080057,0.212967
64_1_0_20170110160643876,0.024823,0.563037
45_0_1_20170113190556169,0.353056,0.452733
73_0_0_20170111211426693,0.221605,0.275932
85_1_2_20170110182903507,ERROR,ERROR
36_1_1_20170113011359152,ERROR,ERROR
27_1_1_20170117013828981,0.301777,0.446956
31_1_0_20170117133437320,0.447062,0.600613
55_1_0_20170110160643547,0.009731,0.467422
24_1_4_20170117194842219,0.859501,0.384243
60_1_0_20170110122430900,0.338341,0.96456
54_0_1_20170117190531158,0.325288,0.277477
42_1_1_20170113012354401,0.236365,0.26103
32_1_0_20170117182539124,0.184733,0.456533
54_0_0_20170117163724762,0.817545,0.868993
45_0_4_20170117202958949,0.273066,0.327731
45_0_1_20170111195732003,0.601714,0.667801
48_1_0_20170109220537701,0.416677,0.521301
30_0_0_20170117171825818,0.70699,0.822359
35_1_1_20170112213029215,0.152796,0.44133
71_0_0_20170111201937537,0.172612,0.87843
30_0_0_20170116182659652,0.285078,0.450139
22_1_2_20170116172726806,0.421665,0.324087
62_1_0_20170110160643829,0.517092,0.503231
27_1_0_20170117175951091,ERROR,ERROR
60_0_0_20170111201620287,0.537453,0.586986
65_1_1_20170113012956231,0.383302,0.343368
26_1_1_20170116153240337,0.866018,0.54915
23_0_0_20170117144618155,0.841256,0.542742
32_1_0_20170117134818053,0.392674,0.91995
76_0_0_20170111210148707,0.575294,0.566753
66_1_0_20170110131902685,0.465228,0.450785
50_0_0_20170111171747253,0.571688,0.624484
43_1_1_20170117193944155,0.437874,0.437092
39_1_0_20170117190455571,0.086487,0.193063
40_1_1_20170116003454596,0.356744,0.43458
